Date,Commodity,State,District,Market,Total_Arrival,Population,MinPrice,MaxPrice,ModalPrice
01-Jan-2023,Onion,Karnataka,Bangalore,0,"0,0",13.606.753,N/A,N/A,N/A
02-Jan-2023,Onion,Karnataka,Bangalore,0,"2983,0",13.606.753,500,1000,700
03-Jan-2023,Onion,Karnataka,Bangalore,0,"5420,0",13.606.753,500,800,700
04-Jan-2023,Onion,Karnataka,Bangalore,0,"7619,0",13.606.753,500,800,700
05-Jan-2023,Onion,Karnataka,Bangalore,0,"9881,0",13.606.753,500,800,700
06-Jan-2023,Onion,Karnataka,Bangalore,0,"12539,0",13.606.753,500,800,700
07-Jan-2023,Onion,Karnataka,Bangalore,0,"15593,0",13.606.753,500,800,700
08-Jan-2023,Onion,Karnataka,Bangalore,0,"15593,0",13.606.753,N/A,N/A,N/A
09-Jan-2023,Onion,Karnataka,Bangalore,0,"18723,0",13.606.753,500,700,600
10-Jan-2023,Onion,Karnataka,Bangalore,0,"21654,0",13.606.753,500,700,600
11-Jan-2023,Onion,Karnataka,Bangalore,0,"24106,0",13.606.753,500,700,600
12-Jan-2023,Onion,Karnataka,Bangalore,0,"26426,0",13.606.753,500,700,600
13-Jan-2023,Onion,Karnataka,Bangalore,0,"28527,0",13.606.753,500,700,600
14-Jan-2023,Onion,Karnataka,Bangalore,0,"28527,0",13.606.753,N/A,N/A,N/A
15-Jan-2023,Onion,Karnataka,Bangalore,0,"28527,0",13.606.753,N/A,N/A,N/A
16-Jan-2023,Onion,Karnataka,Bangalore,0,"31986,0",13.606.753,500,1000,700
17-Jan-2023,Onion,Karnataka,Bangalore,0,"33421,0",13.606.753,500,1000,700
18-Jan-2023,Onion,Karnataka,Bangalore,0,"35270,0",13.606.753,500,1000,700
19-Jan-2023,Onion,Karnataka,Bangalore,0,"36439,0",13.606.753,500,1000,700
20-Jan-2023,Onion,Karnataka,Bangalore,0,"38196,0",13.606.753,500,1000,700
21-Jan-2023,Onion,Karnataka,Bangalore,0,"41053,0",13.606.753,500,1000,700
22-Jan-2023,Onion,Karnataka,Bangalore,0,"41053,0",13.606.753,N/A,N/A,N/A
23-Jan-2023,Onion,Karnataka,Bangalore,0,"44215,0",13.606.753,500,900,700
24-Jan-2023,Onion,Karnataka,Bangalore,0,"47641,0",13.606.753,500,900,700
25-Jan-2023,Onion,Karnataka,Bangalore,0,"50472,0",13.606.753,500,900,700
26-Jan-2023,Onion,Karnataka,Bangalore,0,"50472,0",13.606.753,N/A,N/A,N/A
27-Jan-2023,Onion,Karnataka,Bangalore,0,"54168,0",13.606.753,500,1000,800
28-Jan-2023,Onion,Karnataka,Bangalore,0,"54168,0",13.606.753,N/A,N/A,N/A
29-Jan-2023,Onion,Karnataka,Bangalore,0,"54168,0",13.606.753,N/A,N/A,N/A
30-Jan-2023,Onion,Karnataka,Bangalore,0,"59931,0",13.606.753,500,1000,800
31-Jan-2023,Onion,Karnataka,Bangalore,0,"61866,0",13.606.753,500,1000,800
01-Feb-2023,Onion,Karnataka,Bangalore,0,"64197,0",13.606.753,500,1000,800
02-Feb-2023,Onion,Karnataka,Bangalore,0,"66335,0",13.606.753,500,1000,800
03-Feb-2023,Onion,Karnataka,Bangalore,0,"69115,0",13.606.753,500,1000,800
04-Feb-2023,Onion,Karnataka,Bangalore,0,"71595,0",13.606.753,500,1000,800
05-Feb-2023,Onion,Karnataka,Bangalore,0,"71595,0",13.606.753,N/A,N/A,N/A
06-Feb-2023,Onion,Karnataka,Bangalore,0,"74905,0",13.606.753,500,1000,800
07-Feb-2023,Onion,Karnataka,Bangalore,0,"77735,0",13.606.753,600,1000,900
08-Feb-2023,Onion,Karnataka,Bangalore,0,"80347,0",13.606.753,600,1000,900
09-Feb-2023,Onion,Karnataka,Bangalore,0,"82662,0",13.606.753,700,1000,800
10-Feb-2023,Onion,Karnataka,Bangalore,0,"85554,0",13.606.753,700,1000,800
11-Feb-2023,Onion,Karnataka,Bangalore,0,"85554,0",13.606.753,N/A,N/A,N/A
12-Feb-2023,Onion,Karnataka,Bangalore,0,"85554,0",13.606.753,N/A,N/A,N/A
13-Feb-2023,Onion,Karnataka,Bangalore,0,"90863,0",13.606.753,700,1000,800
14-Feb-2023,Onion,Karnataka,Bangalore,0,"93244,0",13.606.753,700,1000,800
15-Feb-2023,Onion,Karnataka,Bangalore,0,"96185,0",13.606.753,400,600,500
16-Feb-2023,Onion,Karnataka,Bangalore,0,"96186,0",13.606.753,1000,1500,1250
17-Feb-2023,Onion,Karnataka,Bangalore,0,"99966,0",13.606.753,400,600,500
18-Feb-2023,Onion,Karnataka,Bangalore,0,"99966,0",13.606.753,N/A,N/A,N/A
19-Feb-2023,Onion,Karnataka,Bangalore,0,"99966,0",13.606.753,N/A,N/A,N/A
20-Feb-2023,Onion,Karnataka,Bangalore,0,"105812,0",13.606.753,200,500,400
21-Feb-2023,Onion,Karnataka,Bangalore,0,"108528,0",13.606.753,200,500,400
22-Feb-2023,Onion,Karnataka,Bangalore,0,"110322,0",13.606.753,200,500,400
23-Feb-2023,Onion,Karnataka,Bangalore,0,"112756,0",13.606.753,200,500,400
24-Feb-2023,Onion,Karnataka,Bangalore,0,"114983,0",13.606.753,200,500,400
25-Feb-2023,Onion,Karnataka,Bangalore,0,"114983,0",13.606.753,N/A,N/A,N/A
26-Feb-2023,Onion,Karnataka,Bangalore,0,"114983,0",13.606.753,N/A,N/A,N/A
27-Feb-2023,Onion,Karnataka,Bangalore,0,"119739,0",13.606.753,200,500,300
28-Feb-2023,Onion,Karnataka,Bangalore,0,"122516,0",13.606.753,200,500,300
01-Mar-2023,Onion,Karnataka,Bangalore,0,"122517,0",13.606.753,1000,1500,1200
02-Mar-2023,Onion,Karnataka,Bangalore,0,"127615,0",13.606.753,200,500,300
03-Mar-2023,Onion,Karnataka,Bangalore,0,"130419,0",13.606.753,300,700,500
